ID,experimental_phase,group,date,rnd,intake
421,Experimental,No-Uncertainty,2022-10-10,3,71
422,Experimental,No-Uncertainty,2022-10-10,3,64
413,Experimental,Uncertainty,2022-10-11,3,53
414,Experimental,No-Uncertainty,2022-10-11,3,75
415,Experimental,No-Uncertainty,2022-10-11,3,66
416,Experimental,Uncertainty,2022-10-11,3,33
417,Experimental,Uncertainty,2022-10-11,3,52
418,Experimental,Uncertainty,2022-10-11,3,30
419,Experimental,Uncertainty,2022-10-11,3,43
420,Experimental,No-Uncertainty,2022-10-11,3,53
421,Experimental,No-Uncertainty,2022-10-11,3,67
422,Experimental,No-Uncertainty,2022-10-11,3,68
413,Experimental,Uncertainty,2022-10-12,3,49
414,Experimental,No-Uncertainty,2022-10-12,3,57
415,Experimental,No-Uncertainty,2022-10-12,3,51
416,Experimental,Uncertainty,2022-10-12,3,46
417,Experimental,Uncertainty,2022-10-12,3,35
418,Experimental,Uncertainty,2022-10-12,3,32
419,Experimental,Uncertainty,2022-10-12,3,68
420,Experimental,No-Uncertainty,2022-10-12,3,61
421,Experimental,No-Uncertainty,2022-10-12,3,61
422,Experimental,No-Uncertainty,2022-10-12,3,52
413,Experimental,Uncertainty,2022-10-13,3,46
414,Experimental,No-Uncertainty,2022-10-13,3,45
415,Experimental,No-Uncertainty,2022-10-13,3,54
416,Experimental,Uncertainty,2022-10-13,3,55
417,Experimental,Uncertainty,2022-10-13,3,47
418,Experimental,Uncertainty,2022-10-13,3,59
419,Experimental,Uncertainty,2022-10-13,3,36
420,Experimental,No-Uncertainty,2022-10-13,3,57
421,Experimental,No-Uncertainty,2022-10-13,3,64
422,Experimental,No-Uncertainty,2022-10-13,3,57
413,Experimental,Uncertainty,2022-10-14,3,39
414,Experimental,No-Uncertainty,2022-10-14,3,56
415,Experimental,No-Uncertainty,2022-10-14,3,57
416,Experimental,Uncertainty,2022-10-14,3,36
417,Experimental,Uncertainty,2022-10-14,3,63
418,Experimental,Uncertainty,2022-10-14,3,53
419,Experimental,Uncertainty,2022-10-14,3,66
420,Experimental,No-Uncertainty,2022-10-14,3,62
421,Experimental,No-Uncertainty,2022-10-14,3,58
422,Experimental,No-Uncertainty,2022-10-14,3,67
413,Experimental,Uncertainty,2022-10-15,3,48
414,Experimental,No-Uncertainty,2022-10-15,3,50
415,Experimental,No-Uncertainty,2022-10-15,3,60
416,Experimental,Uncertainty,2022-10-15,3,49
417,Experimental,Uncertainty,2022-10-15,3,59
418,Experimental,Uncertainty,2022-10-15,3,40
419,Experimental,Uncertainty,2022-10-15,3,47
420,Experimental,No-Uncertainty,2022-10-15,3,61
421,Experimental,No-Uncertainty,2022-10-15,3,62
422,Experimental,No-Uncertainty,2022-10-15,3,64
413,Experimental,Uncertainty,2022-10-16,3,60
414,Experimental,No-Uncertainty,2022-10-16,3,52
415,Experimental,No-Uncertainty,2022-10-16,3,55
416,Experimental,Uncertainty,2022-10-16,3,46
417,Experimental,Uncertainty,2022-10-16,3,36
418,Experimental,Uncertainty,2022-10-16,3,82
419,Experimental,Uncertainty,2022-10-16,3,60
420,Experimental,No-Uncertainty,2022-10-16,3,54
421,Experimental,No-Uncertainty,2022-10-16,3,64
422,Experimental,No-Uncertainty,2022-10-16,3,66
413,Experimental,Uncertainty,2022-10-17,3,38
414,Experimental,No-Uncertainty,2022-10-17,3,59
415,Experimental,No-Uncertainty,2022-10-17,3,55
416,Experimental,Uncertainty,2022-10-17,3,40
417,Experimental,Uncertainty,2022-10-17,3,30
418,Experimental,Uncertainty,2022-10-17,3,55
